Job: acopf_run
Executing: ACOPF_pinn_baseline.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch 1100 | Cost: 1420.72 | Max P-Miss: 0.1318 | Max Q-Miss: 0.0775 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1110 | Cost: 1499.67 | Max P-Miss: 0.1228 | Max Q-Miss: 0.0289 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1120 | Cost: 1500.17 | Max P-Miss: 0.1275 | Max Q-Miss: 0.0437 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1130 | Cost: 1493.04 | Max P-Miss: 0.1209 | Max Q-Miss: 0.0355 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1140 | Cost: 1494.82 | Max P-Miss: 0.1299 | Max Q-Miss: 0.0345 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1150 | Cost: 1490.43 | Max P-Miss: 0.1253 | Max Q-Miss: 0.0214 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1160 | Cost: 1488.37 | Max P-Miss: 0.1242 | Max Q-Miss: 0.0314 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1170 | Cost: 1488.45 | Max P-Miss: 0.1204 | Max Q-Miss: 0.0248 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1180 | Cost: 1491.31 | Max P-Miss: 0.1235 | Max Q-Miss: 0.0455 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1190 | Cost: 1472.81 | Max P-Miss: 0.1190 | Max Q-Miss: 0.0621 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1200 | Cost: 1458.29 | Max P-Miss: 0.1051 | Max Q-Miss: 0.1129 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1210 | Cost: 1420.63 | Max P-Miss: 0.1408 | Max Q-Miss: 0.0429 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1220 | Cost: 1455.10 | Max P-Miss: 0.1215 | Max Q-Miss: 0.0507 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1230 | Cost: 1490.21 | Max P-Miss: 0.1028 | Max Q-Miss: 0.0461 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1240 | Cost: 1488.36 | Max P-Miss: 0.1093 | Max Q-Miss: 0.0432 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1250 | Cost: 1491.18 | Max P-Miss: 0.1075 | Max Q-Miss: 0.0469 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1260 | Cost: 1489.25 | Max P-Miss: 0.1111 | Max Q-Miss: 0.0411 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1270 | Cost: 1490.02 | Max P-Miss: 0.1143 | Max Q-Miss: 0.0377 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1280 | Cost: 1488.19 | Max P-Miss: 0.1183 | Max Q-Miss: 0.0393 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1290 | Cost: 1490.64 | Max P-Miss: 0.1169 | Max Q-Miss: 0.0330 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1300 | Cost: 1486.56 | Max P-Miss: 0.1175 | Max Q-Miss: 0.0360 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1310 | Cost: 1485.68 | Max P-Miss: 0.1180 | Max Q-Miss: 0.0384 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1320 | Cost: 1415.59 | Max P-Miss: 0.1348 | Max Q-Miss: 0.1426 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1330 | Cost: 1491.42 | Max P-Miss: 0.0968 | Max Q-Miss: 0.0936 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1340 | Cost: 1438.48 | Max P-Miss: 0.1192 | Max Q-Miss: 0.0470 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1350 | Cost: 1456.12 | Max P-Miss: 0.1108 | Max Q-Miss: 0.0444 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1360 | Cost: 1446.50 | Max P-Miss: 0.1362 | Max Q-Miss: 0.0388 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1370 | Cost: 1482.67 | Max P-Miss: 0.1480 | Max Q-Miss: 0.0506 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1380 | Cost: 1495.76 | Max P-Miss: 0.1412 | Max Q-Miss: 0.0436 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1390 | Cost: 1489.37 | Max P-Miss: 0.1257 | Max Q-Miss: 0.0438 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1400 | Cost: 1487.78 | Max P-Miss: 0.1239 | Max Q-Miss: 0.0408 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1410 | Cost: 1488.87 | Max P-Miss: 0.1281 | Max Q-Miss: 0.0466 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1420 | Cost: 1487.39 | Max P-Miss: 0.1265 | Max Q-Miss: 0.0495 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1430 | Cost: 1486.92 | Max P-Miss: 0.1234 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1440 | Cost: 1482.78 | Max P-Miss: 0.1167 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1450 | Cost: 1481.51 | Max P-Miss: 0.1153 | Max Q-Miss: 0.0363 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1460 | Cost: 1484.82 | Max P-Miss: 0.1162 | Max Q-Miss: 0.0395 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1470 | Cost: 1483.78 | Max P-Miss: 0.1164 | Max Q-Miss: 0.0382 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1480 | Cost: 1484.60 | Max P-Miss: 0.1156 | Max Q-Miss: 0.0331 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1490 | Cost: 1486.07 | Max P-Miss: 0.1205 | Max Q-Miss: 0.0257 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1500 | Cost: 1484.32 | Max P-Miss: 0.1103 | Max Q-Miss: 0.0364 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
