Architecture,Run,Instance_ID,Raw_Obj_Gap_pct,Raw_Max_Eq,Raw_Mean_Eq,Raw_Max_Ineq,Raw_Mean_Ineq,NN_Time_s,Restoration_Success,Restoration_Status,Restoration_Time_s,Total_Online_Time_s,Restoration_Distance,Restored_Cost,IPOPT_Cost,Restored_Obj_Gap_pct,Restored_Max_Eq,Restored_Mean_Eq,Restored_Max_Ineq,Restored_Mean_Ineq
DC3,3,5,-29.98391342163086,1.0431197881698608,0.10736311227083206,0.004853248596191406,3.791600465774536e-05,0.00016928999975789337,False,infeasible,0.12790079999831505,0.12807008999807296,,,2116.685546875,,,,,
DC3,3,6,-33.10097122192383,1.0535438060760498,0.1159827709197998,0.014289915561676025,0.00011163996532559395,0.00016928999975789337,False,infeasible,0.11629199999879347,0.11646128999855136,,,2211.462646484375,,,,,
DC3,3,7,-31.10691261291504,1.0494087934494019,0.1104702576994896,0.012809693813323975,0.00010007573291659355,0.00016928999975789337,False,infeasible,0.12517319999824394,0.12534248999800185,,,2154.029296875,,,,,
DC3,3,8,-31.43153190612793,1.048930048942566,0.11230223625898361,0.010751903057098389,8.399924263358116e-05,0.00016928999975789337,False,infeasible,0.12006380000093486,0.12023309000069275,,,2162.856689453125,,,,,
DC3,3,9,-28.758913040161133,1.0514870882034302,0.11397266387939453,0.012489020824432373,9.757047519087791e-05,0.00016928999975789337,False,infeasible,0.1267033000003721,0.12687259000013001,,,2082.473388671875,,,,,
DC3,4,0,-31.214262008666992,1.0590025186538696,0.11934781074523926,0.03212440013885498,0.0009550978429615498,0.00012370999975246376,False,infeasible,0.1334184000006644,0.13354211000041688,,,2157.823486328125,,,,,
DC3,4,1,-34.19072723388672,1.0291481018066406,0.1124839335680008,0.01918160915374756,0.0004429742693901062,0.00012370999975246376,False,infeasible,0.10692999999810127,0.10705370999785373,,,2202.7431640625,,,,,
DC3,4,2,-35.372982025146484,1.0273337364196777,0.11253008991479874,0.017661571502685547,0.00036120926961302757,0.00012370999975246376,False,infeasible,0.12529129999893485,0.12541500999868732,,,2237.24365234375,,,,,
DC3,4,3,-32.40334701538086,1.0406631231307983,0.11719769984483719,0.024666547775268555,0.0006316285580396652,0.00012370999975246376,False,infeasible,0.11331190000055358,0.11343561000030604,,,2156.857177734375,,,,,
DC3,4,4,-32.53511428833008,1.0437817573547363,0.1173783540725708,0.02439415454864502,0.0006695338524878025,0.00012370999975246376,False,infeasible,0.11779590000151074,0.1179196100012632,,,2173.237060546875,,,,,
DC3,4,5,-31.588167190551758,1.0243247747421265,0.10935289412736893,0.013911008834838867,0.0002569793723523617,0.00012370999975246376,False,infeasible,0.14523459999691113,0.1453583099966636,,,2116.685546875,,,,,
DC3,4,6,-34.43406677246094,1.0342464447021484,0.11732258647680283,0.021824181079864502,0.000520460307598114,0.00012370999975246376,False,infeasible,0.12029080000138492,0.12041451000113738,,,2211.462646484375,,,,,
DC3,4,7,-32.4778938293457,1.0335547924041748,0.11231870204210281,0.018661141395568848,0.0004243515431880951,0.00012370999975246376,False,infeasible,0.11917700000049081,0.11930071000024327,,,2154.029296875,,,,,
DC3,4,8,-32.68233871459961,1.0338436365127563,0.11425678431987762,0.01854795217514038,0.00043875351548194885,0.00012370999975246376,False,infeasible,0.13098330000138958,0.13110701000114205,,,2162.856689453125,,,,,
DC3,4,9,-30.098651885986328,1.0366679430007935,0.1158386841416359,0.019803106784820557,0.0004685386084020138,0.00012370999975246376,False,infeasible,0.12955779999902006,0.12968150999877254,,,2082.473388671875,,,,,
DC3,5,0,-35.46095657348633,1.0525431632995605,0.12395686656236649,0.06047987937927246,0.0018968484364449978,0.0001321800002187956,False,infeasible,0.11462870000104886,0.11476088000126765,,,2157.823486328125,,,,,
DC3,5,1,-37.90884780883789,1.0263499021530151,0.11804527044296265,0.05932450294494629,0.002174083609133959,0.0001321800002187956,False,infeasible,0.12839890000032028,0.1285310800005391,,,2202.7431640625,,,,,
DC3,5,2,-39.099605560302734,1.0210188627243042,0.11752984672784805,0.056696414947509766,0.002091163769364357,0.0001321800002187956,False,infeasible,0.13474320000023,0.1348753800004488,,,2237.24365234375,,,,,
DC3,5,3,-36.3311767578125,1.0338175296783447,0.12185011059045792,0.055988967418670654,0.0019218381494283676,0.0001321800002187956,False,infeasible,0.127519099998608,0.1276512799988268,,,2156.857177734375,,,,,
DC3,5,4,-36.36480712890625,1.0426063537597656,0.12397634983062744,0.059984683990478516,0.001992231234908104,0.0001321800002187956,False,infeasible,0.1269745999998122,0.127106780000031,,,2173.237060546875,,,,,
DC3,5,5,-35.47127914428711,1.0216457843780518,0.11590643227100372,0.06117957830429077,0.0022852071560919285,0.0001321800002187956,False,infeasible,0.12815219999902183,0.12828437999924064,,,2116.685546875,,,,,
DC3,5,6,-38.19862365722656,1.0278067588806152,0.1220107153058052,0.05644923448562622,0.002035843674093485,0.0001321800002187956,False,infeasible,0.11868399999730173,0.11881617999752052,,,2211.462646484375,,,,,
DC3,5,7,-36.35300827026367,1.028009057044983,0.11802814155817032,0.05925387144088745,0.0020881802774965763,0.0001321800002187956,False,infeasible,0.11309420000179671,0.1132263800020155,,,2154.029296875,,,,,
DC3,5,8,-36.5806999206543,1.0290786027908325,0.11951661109924316,0.0578685998916626,0.0020013186149299145,0.0001321800002187956,False,infeasible,0.1300651999990805,0.1301973799992993,,,2162.856689453125,,,,,
DC3,5,9,-34.09779357910156,1.0313498973846436,0.12088847160339355,0.05924034118652344,0.002080698497593403,0.0001321800002187956,False,infeasible,0.1659576999991259,0.16608987999934471,,,2082.473388671875,,,,,
FSNet,1,0,-9.039543151855469,1.4070243835449219,0.27516621351242065,0.8814417719841003,0.09620779007673264,0.00019750999999814666,False,infeasible,0.19652299999870593,0.19672050999870408,,,2157.823486328125,,,,,
FSNet,1,1,-10.823373794555664,1.4184342622756958,0.2680102288722992,0.8816546201705933,0.09622247517108917,0.00019750999999814666,False,infeasible,0.2043679999987944,0.20456550999879256,,,2202.7431640625,,,,,
FSNet,1,2,-12.167584419250488,1.4218116998672485,0.26570042967796326,0.8816977739334106,0.09622633457183838,0.00019750999999814666,False,infeasible,0.14337200000227313,0.14356951000227128,,,2237.24365234375,,,,,
FSNet,1,3,-8.951837539672852,1.4149432182312012,0.26988399028778076,0.881574273109436,0.09621815383434296,0.00019750999999814666,False,infeasible,0.15140790000077686,0.15160541000077501,,,2156.857177734375,,,,,
FSNet,1,4,-9.669716835021973,1.4106074571609497,0.27506324648857117,0.8815038204193115,0.09621304273605347,0.00019750999999814666,False,infeasible,0.18701330000112648,0.18721081000112463,,,2173.237060546875,,,,,
FSNet,1,5,-7.1240715980529785,1.4249415397644043,0.2611005902290344,0.88178551197052,0.09622989594936371,0.00019750999999814666,False,infeasible,0.19881059999897843,0.19900810999897658,,,2116.685546875,,,,,
FSNet,1,6,-11.20290470123291,1.4155073165893555,0.27272072434425354,0.8815723061561584,0.0962178036570549,0.00019750999999814666,False,infeasible,0.1839646000007633,0.18416211000076146,,,2211.462646484375,,,,,
FSNet,1,7,-8.781462669372559,1.4189304113388062,0.26505425572395325,0.8816871047019958,0.0962226539850235,0.00019750999999814666,False,infeasible,0.1957777999996324,0.19597530999963056,,,2154.029296875,,,,,
FSNet,1,8,-9.176909446716309,1.4174748659133911,0.26777368783950806,0.8816663026809692,0.09622006118297577,0.00019750999999814666,False,infeasible,0.1789199999984703,0.17911750999846845,,,2162.856689453125,,,,,
